Term,Section,Title,Location,Meeting Info,Faculty,Available/Capacity,Status,Credits,Academic Level,Restrictions,Blocked Time Slots,Days,Time Slot
2024SP,GLCZ-430-001,Institutl Inequalt Amer,Bachelor Completion,"03/18/2024-05/10/2024 On-Line Days to be Announced, Times to be Announced, Room to be Announced","Flockhart, Tyler Ross",26 / 26,Open,3,Undergraduate,,,,
2024SP,GLCZ-435-001,Uncommon Humanity,Bachelor Completion,"01/15/2024-03/08/2024 On-Line Days to be Announced, Times to be Announced, Room to be Announced","Hamilton, Andrew John",26 / 26,Open,3,Undergraduate,For students in bachelor completion; will not open to trad students,,,
2024SP,HIST-102-001,Western Civ since 1600,Main Campus,"01/15/2024-05/03/2024 Lecture Monday, Wednesday, Friday 10:10AM - 11:05AM, Murphy Center, Room 471","Knutson, Keith Allen",35 / 35,Open,3,Undergraduate,This course is for students with freshman and sophomore standing.,,,
2024SP,HIST-112-001,United States since 1865,Main Campus,"01/15/2024-05/03/2024 Lecture Monday, Wednesday, Friday 11:15AM - 12:10PM, Murphy Center, Room 471","Knutson, Keith Allen",35 / 35,Open,3,Undergraduate,This course is for students with freshman and sophomore standing.,,,
2024SP,HIST-304-001,The Holocaust,Main Campus,"01/16/2024-05/02/2024 Lecture Tuesday, Thursday 02:00PM - 03:20PM, Murphy Center, Room 471","Knutson, Keith Allen",30 / 30,Open,3,Undergraduate,,,,
2024SP,HIST-308-001,The Vietnam War,Main Campus,"01/16/2024-05/02/2024 Lecture Tuesday, Thursday 11:00AM - 12:20PM, Murphy Center, Room 471","Knutson, Keith Allen",35 / 35,Open,3,Undergraduate,,,,
2024SP,HIST-341-001,World of Ideas,Main Campus,"01/16/2024-05/02/2024 Lecture Tuesday, Thursday 12:30PM - 01:50AM, Murphy Center, Room 444","Hamilton, Andrew John",35 / 35,Open,3,Undergraduate,,,,
2024SP,HIST-385-001,History of Medicine,Main Campus,"01/15/2024-05/10/2024 On-Line Days to be Announced, Times to be Announced, Room to be Announced","Hamilton, Andrew John",26 / 26,Open,3,Undergraduate,,,,
2024SP,HMGT-375-001,Hlth Care Informatics,Bachelor Completion,"01/15/2024-05/10/2024 On-Line Days to be Announced, Times to be Announced, Room to be Announced","Bubbers, Terresa Ann",26 / 26,Open,3,Undergraduate,,,,
2024SP,HMGT-487-001,Internship,Main Campus,"01/15/2024-05/10/2024 Internship Days to be Announced, Times to be Announced Arranged, Room ARRG (more)...","Gostonczik, Alyssa Rae; Hanson, Taylor Michael",90 / 90,Open,1.00 - 12.0,Undergraduate,,,,
2024SP,HMGT-588-001,IS Hlth Care Financ,Main Campus,"03/18/2024-05/10/2024 Independent Study Days to be Announced, Times to be Announced, Room to be Announced","Krageschmidt, Dale Allen",1-Jan,Open,3,Graduate,,,,
2024SP,HMGT-635-001,Population Health,Main Campus,"01/15/2024-03/08/2024 On-Line Days to be Announced, Times to be Announced, Room to be Announced","Krageschmidt, Dale Allen",25 / 25,Open,3,Graduate,This course is for online MBA program students only (some open to DNP).,,,
2024SP,HMGT-640-001,Health Care Finance,Main Campus,"03/18/2024-05/10/2024 On-Line Days to be Announced, Times to be Announced, Room to be Announced","Krageschmidt, Dale Allen",30 / 30,Open,3,Graduate,,,,
2024SP,HONR-499-001,Honors Senior Capstone,Main Campus,"01/15/2024-05/03/2024 Lecture Days to be Announced, Times to be Announced Arranged, Room ARRG","Bersagel Braley, Matthew Todd",35 / 35,Open,1,Undergraduate,This course is for students with junior standing or higher.,,,
2024SP,INTP-444-001,Intcultrl Cmptnc Ethics,Main Campus,"01/15/2024-05/10/2024 On-Line Days to be Announced, Times to be Announced, Room to be Announced","Pinzl, Michelle Marie",15 / 15,Open,3,Undergraduate,,,,
2024SP,INTP-452-001,Smnr Intrprtng Busn Legl,Main Campus,"01/15/2024-03/08/2024 On-Line Days to be Announced, Times to be Announced, Room to be Announced","Pinzl, Michelle Marie",25 / 25,Open,3,Undergraduate,,,,
2024SP,INTP-481-001,Interpretation Practcm,Main Campus,"01/15/2024-05/10/2024 On-Line Days to be Announced, Times to be Announced, Room to be Announced","Pinzl, Michelle Marie",15 / 15,Open,1,Undergraduate,,,,
2024SP,LANG-202-001,ASL and Deaf Culture II,Main Campus,"01/15/2024-05/03/2024 Lecture Monday, Wednesday, Friday 02:30PM - 03:25PM, Murphy Center, Room 304","Novak, Jodie Marie",15 / 15,Open,3,Undergraduate,,,,
2024SP,MATH-083-001,Just in Time Stats Lab,Main Campus,"01/15/2024-05/03/2024 Laboratory Tuesday 09:05AM - 10:00AM, Murphy Center, Room 378","Gaedy, Elizabeth Marie",24 / 24,Open,1,Undergraduate,,,,
2024SP,MATH-112-001,College Algebra,Main Campus,"01/15/2024-05/03/2024 Lecture Monday, Wednesday, Friday 01:25PM - 02:20PM, Murphy Center, Room 346","Wodzak, Michael Anthony",30 / 30,Open,3,Undergraduate,,,,
2024SP,MATH-113-001,Trigonometry,Main Campus,"01/15/2024-05/03/2024 Lecture Monday, Wednesday, Friday 02:30PM - 03:25PM, Murphy Center, Room 346","Wodzak, Michael Anthony",30 / 30,Open,3,Undergraduate,,,,
2024SP,MATH-130-001,Introductory Statistics,Main Campus,"01/15/2024-05/03/2024 Lecture Monday, Wednesday, Friday 01:25PM - 02:20PM, Murphy Center, Room 314","Overturf, Diane R",24 / 24,Open,3,Undergraduate,,,,
2024SP,MATH-150-001,Matlab Programming,Main Campus,"01/17/2024-05/01/2024 Laboratory Wednesday 03:35PM - 04:30PM, Nursing Center, Room 285","Vanderfleet, Emily Jean",15 / 15,Open,1,Undergraduate,,,,
2024SP,MATH-155-001,Math a Way of Thinking,Main Campus,"01/15/2024-05/03/2024 Lecture Monday, Wednesday, Friday 11:15AM - 12:10PM, Murphy Center, Room 378","Wodzak, Michael Anthony",24 / 24,Open,3,Undergraduate,,,,
2024SP,MATH-221-001,Calculus II,Main Campus,"01/15/2024-05/03/2024 Lecture Monday, Wednesday, Friday 09:05AM - 10:00AM, Murphy Center, Room 444 (more)...","Lee, Sheldon Howard",24 / 24,Open,4,Undergraduate,,,,
2024SP,MATH-230-001,Statistics With R Prog,Main Campus,"01/15/2024-05/03/2024 Lecture Monday, Wednesday, Friday 02:30PM - 03:25PM, Reinhart Center, Room 228 (more)...","Lee, Sheldon Howard",24 / 24,Open,4,Undergraduate,,,,
2024SP,MATH-255-001,Math Elem and Mid Tchrs,Main Campus,"01/15/2024-05/03/2024 Lecture Monday, Wednesday, Friday 10:10AM - 11:05AM, Murphy Center, Room 416","Lichty, Joshua John",30 / 30,Open,3,Undergraduate,,,,
2024SP,MATH-270-001,Managerial Mathematics,Main Campus,"01/15/2024-05/03/2024 Lecture Monday, Wednesday, Friday 10:10AM - 11:05AM, Murphy Center, Room 444","Wodzak, Michael Anthony",30 / 30,Open,3,Undergraduate,,,,
2024SP,MATH-365-001,Mathematical Modeling,Main Campus,"01/15/2024-05/03/2024 Lecture Monday, Wednesday, Friday 11:15AM - 12:10PM, Reinhart Center, Room 233 (more)...","Lee, Sheldon Howard",16 / 16,Open,4,Undergraduate,,,,
2024SP,MGMT-203-001,Professional Communcatn,Main Campus,"01/15/2024-05/01/2024 Lecture Monday, Wednesday 01:25PM - 02:20PM, Brophy Center, Room 206","Neumann, John William",25 / 25,Open,2,Undergraduate,,,,
2024SP,MGMT-210-001,Mgmt Infm Sys Cncpts App,Main Campus,"01/15/2024-05/03/2024 Lecture Monday, Wednesday, Friday 11:15AM - 12:10PM, Nursing Center, Room 205","Brooks, Rochelle Ann",30 / 30,Open,3,Undergraduate,,,,
2024SP,MGMT-250-001,Prfss Prsnl Branding,Main Campus,"01/15/2024-05/01/2024 Lecture Monday, Wednesday 02:30PM - 03:25PM, Brophy Center, Room 123","Neumann, John William",30 / 30,Open,2,Undergraduate,,,,
2024SP,MGMT-300-001,Business Profnl Writing,Main Campus,"01/16/2024-05/02/2024 Lecture Tuesday, Thursday 11:00AM - 12:20PM, Nursing Center, Room 205","Brooks, Rochelle Ann",22 / 22,Open,3,Undergraduate,,,,
2024SP,MGMT-322-001,Talent Management,Main Campus,"01/15/2024-05/03/2024 Lecture Monday, Wednesday, Friday 08:00AM - 08:55AM, Brophy Center, Room 202","Bubbers, Terresa Ann",25 / 25,Open,3,Undergraduate,,,,
2024SP,MGMT-341-001,Prin Mgmt and Org Behvr,Main Campus,"01/15/2024-05/03/2024 Lecture Monday, Wednesday, Friday 01:25PM - 02:20PM, Brophy Center, Room 202","Bubbers, Terresa Ann",30 / 30,Open,3,Undergraduate,,,,
2024SP,MGMT-374-001,Diversity Glbl Business,Main Campus,"01/16/2024-05/02/2024 Lecture Tuesday, Thursday 09:30AM - 10:50AM, Brophy Center, Room 202","Antwi, Enoch Opoku",30 / 30,Open,3,Undergraduate,,,,
2024SP,MGMT-375-001,Ldrshp Power Influence,Main Campus,"01/15/2024-05/03/2024 Lecture Monday, Wednesday, Friday 01:25PM - 02:20PM, Brophy Center, Room 123","Knothe, Thomas Eugene",30 / 30,Open,3,Undergraduate,,,,
2024SP,MGMT-449-001,Global Strategic Mgmt,Main Campus,"01/16/2024-05/02/2024 Lecture Tuesday, Thursday 12:30PM - 01:50PM, Brophy Center, Room 202","Nyseth, Jeffery Colin",30 / 30,Open,3,Undergraduate,This course is for students with senior standing.,,,
2024SP,MGMT-449-002,Global Strategic Mgmt,Main Campus,"01/15/2024-05/03/2024 Lecture Tuesday, Thursday 02:00PM - 03:20PM, Brophy Center, Room 202","Nyseth, Jeffery Colin",30 / 30,Open,3,Undergraduate,This course is for students with senior standing.,,,
2024SP,MGMT-487-001,Internship,Main Campus,"01/15/2024-05/10/2024 Internship Days to be Announced, Times to be Announced Arranged, Room ARRG (more)...","Gostonczik, Alyssa Rae; Hanson, Taylor Michael",90 / 90,Open,1.00 - 12.0,Undergraduate,This course is for students with junior standing or higher.,,,
2024SP,MGMT-490-001,International Business,Main Campus,"01/15/2024-05/03/2024 Lecture Monday, Wednesday, Friday 09:05AM - 10:00AM, Brophy Center, Room 124","Antwi, Enoch Opoku",30 / 30,Open,3,Undergraduate,,,,
2024SP,MGMT-492-001,Comprehensive Capstone,Main Campus,"01/15/2024-04/29/2024 Lecture Monday 11:15AM - 12:10PM, Brophy Center, Room 124","Nyseth, Jeffery Colin",25 / 25,Open,1,Undergraduate,,,,
2024SP,MGMT-492-002,Comprehensive Capstone,Main Campus,"01/15/2024-05/03/2024 Lecture Tuesday 11:00AM - 11:50AM, Brophy Center, Room 124","Nyseth, Jeffery Colin",25 / 25,Open,1,Undergraduate,,,,
2024SP,MGMT-511-001,Self Leadership,Main Campus,"01/16/2024-01/16/2024 Lecture Tuesday 06:00PM - 10:00PM, Brophy Center, Room 202 (more)...","Clark, Casey Anne",30 / 30,Open,1,Graduate,,,,
2024SP,MGMT-520-001,Mthds Inquiry and Anal,Main Campus,"01/15/2024-03/08/2024 Lecture Wednesday 06:00PM - 10:00PM, Brophy Center, Room 123 (more)...","Krageschmidt, Dale Allen",30 / 30,Open,3,Graduate,,,,
2024SP,MGMT-550-001,Bus Strat Sust Enterpr,Main Campus,"01/15/2024-05/10/2024 On-Line Days to be Announced, Times to be Announced, Room to be Announced (more)...","Nyseth, Jeffery Colin",30 / 30,Open,3,Graduate,,,,
2024SP,MKTG-351-001,Principles of Marketing,Main Campus,"01/15/2024-05/03/2024 Lecture Monday, Wednesday, Friday 11:15AM - 12:10PM, Brophy Center, Room 123","Neumann, John William",30 / 30,Open,3,Undergraduate,,,,
2024SP,MKTG-354-001,Soc Media Innov Mktg,Main Campus,"01/16/2024-05/02/2024 Lecture Tuesday, Thursday 08:00AM - 09:20AM, Brophy Center, Room 206","Neumann, John William",30 / 30,Open,3,Undergraduate,,,,
2024SP,MKTG-361-001,Web Design Analytics,Main Campus,"01/15/2024-05/03/2024 Lecture Monday, Wednesday, Friday 12:20PM - 01:15PM, Murphy Center, Room 314","Nyseth, Jeffery Colin",25 / 25,Open,3,Undergraduate,,,,
2024SP,MKTG-487-001,Internship,Main Campus,"01/15/2024-05/10/2024 Internship Days to be Announced, Times to be Announced Arranged, Room ARRG (more)...","Gostonczik, Alyssa Rae; Hanson, Taylor Michael",90 / 90,Open,1.00 - 12.0,Undergraduate,This course is for students with junior standing or higher.,,,
2024SP,MUPI-168-001,Applied Piano Lessons,Main Campus,"01/15/2024-05/03/2024 Lessons Days to be Announced, Times to be Announced Arranged, Room ARRG","Mihm, Meredith May",18 / 18,Open,0.50 - 1.00,Undergraduate,This course is for students with freshman and sophomore standing.,,,
2024SP,MUPI-168-001,Applied Piano Lessons,Main Campus,"01/15/2024-05/03/2024 Lessons Days to be Announced, Times to be Announced Arranged, Room ARRG","Mihm, Meredith May",18 / 18,Open,0.50 - 1.00,Undergraduate,This course section is for NON-music majors only.,,,
2024SP,MUPI-171-001,Applied Piano Lessons,Main Campus,"01/15/2024-05/03/2024 Lessons Days to be Announced, Times to be Announced Arranged, Room ARRG","Haupert, Mary Ellen",18 / 18,Open,0.50 - 1.00,Undergraduate,This course is for students with freshman and sophomore standing.,,,
2024SP,MUPI-368-001,Applied Piano Lessons,Main Campus,"01/15/2024-05/03/2024 Lessons Days to be Announced, Times to be Announced Arranged, Room ARRG","Mihm, Meredith May",18 / 18,Open,0.50 - 1.00,Undergraduate,This course is for students with junior standing or higher.,,,
2024SP,MUPI-368-001,Applied Piano Lessons,Main Campus,"01/15/2024-05/03/2024 Lessons Days to be Announced, Times to be Announced Arranged, Room ARRG","Mihm, Meredith May",18 / 18,Open,0.50 - 1.00,Undergraduate,This course section is for NON-music majors only.,,,
2024SP,MUPI-371-001,Applied Piano Lessons,Main Campus,"01/15/2024-05/03/2024 Lessons Days to be Announced, Times to be Announced Arranged, Room ARRG","Haupert, Mary Ellen",18 / 18,Open,0.50 - 1.00,Undergraduate,This course is for students with junior standing or higher.,,,
2024SP,MUSC-101-001,Class Piano,Main Campus,"01/15/2024-05/01/2024 Lecture Monday, Wednesday 09:05AM - 10:00AM, Fine Arts Center, Room 224","Mihm, Meredith May",15 / 15,Open,1,Undergraduate,,,,
2024SP,MUSC-105-001,Piano Proficiency I,Main Campus,"01/15/2024-05/01/2024 Lecture Monday, Wednesday 08:00AM - 08:50AM, Fine Arts Center, Room 224","Mihm, Meredith May",20 / 20,Open,1,Undergraduate,,,,
2024SP,MUSC-105-002,Piano Proficiency I,Main Campus,"01/15/2024-05/01/2024 Lecture Monday, Wednesday 08:00AM - 08:55AM, Fine Arts Center, Room 224","Mihm, Meredith May",15 / 15,Open,1,Undergraduate,This course is for music and theatre majors and minors only.,,,
2024SP,MUSC-107-001,Aural Skills II,Main Campus,"01/15/2024-05/01/2024 Lecture Monday, Wednesday 10:10AM - 11:05AM, Fine Arts Center, Room 435","Wilson, James Edward",30 / 30,Open,1,Undergraduate,,,,
2024SP,MUSC-109-001,Music Appreciation,Main Campus,"01/16/2024-05/02/2024 Lecture Tuesday, Thursday 02:00PM - 03:20PM, Fine Arts Center, Room 223","Krauklis, Jeffry Carl",24 / 24,Open,3,Undergraduate,,,,
2024SP,MUSC-134-001,Choral Arts,Main Campus,"01/16/2024-04/30/2024 Studio Tuesday 07:00PM - 09:00PM, Fine Arts Center, Room 435","Wilson, James Edward",40 / 40,Open,1,Undergraduate,,,,
2024SP,MUSC-137-001,Concert Choir,Main Campus,"01/15/2024-05/03/2024 Studio Monday, Wednesday 12:20PM - 01:15PM, Fine Arts Center, Room 435 (more)...","Wilson, James Edward",50 / 50,Open,0.00 - 1.00,Undergraduate,This course is for students with freshman and sophomore standing.,,,
2024SP,MUSC-139-001,9th Street Singers,Main Campus,"01/15/2024-05/03/2024 Studio Monday, Wednesday, Friday 02:45PM - 03:30PM, Fine Arts Center, Room RH","Wilson, James Edward",50 / 50,Open,0.00 - 1.00,Undergraduate,This course is for students with freshman and sophomore standing.,,,
2024SP,MUSC-151-001,Theory I,Main Campus,"01/15/2024-05/03/2024 Lecture Monday, Wednesday, Friday 09:05AM - 10:00AM, Fine Arts Center, Room 439","Haupert, Mary Ellen",20 / 20,Open,3,Undergraduate,,,,
2024SP,MUSC-152-001,Theory II,Main Campus,"01/15/2024-05/03/2024 Lecture Monday, Wednesday, Friday 11:15AM - 12:10PM, Fine Arts Center, Room 439","Haupert, Mary Ellen",20 / 20,Open,3,Undergraduate,,,,
2024SP,MUSC-205-001,Piano Proficiency II,Main Campus,"01/15/2024-05/01/2024 Lecture Monday, Wednesday 01:25PM - 02:20PM, Fine Arts Center, Room 224","Mihm, Meredith May",15 / 15,Open,1,Undergraduate,,,,
2024SP,MUSC-237-001,Diction I,Main Campus,"01/16/2024-05/02/2024 Lecture Tuesday, Thursday 02:00PM - 02:50PM, Fine Arts Center, Room 223","Wilson, James Edward",20 / 20,Open,2,Undergraduate,,,,
2024SP,MUSC-265-001,Conducting I,Main Campus,"01/15/2024-05/01/2024 Lecture Monday, Wednesday 01:25PM - 02:20PM, Fine Arts Center, Room 435","Wilson, James Edward",20 / 20,Open,2,Undergraduate,,,,
2024SP,MUSC-284-001,Intrdctn to Alexander Technque,Main Campus,"01/15/2024-05/10/2024 Lecture Days to be Announced, Times to be Announced Arranged, Room ARRG","Foust, Diane ",10-Oct,Open,2,Undergraduate,,,,
2024SP,MUSC-312-001,Instrmntl Techniques II,Main Campus,"01/15/2024-05/01/2024 Lecture Monday, Wednesday 09:05AM - 10:00AM, Fine Arts Center, Room 435","Krauklis, Jeffry Carl",15 / 15,Open,2,Undergraduate,,,,
2024SP,MUSC-328-001,Music History II,Main Campus,"01/16/2024-05/02/2024 Lecture Tuesday, Thursday 10:00AM - 11:20AM, Fine Arts Center, Room 439","Haupert, Mary Ellen",20 / 20,Open,3,Undergraduate,,,,
2024SP,MUSC-337-001,Concert Choir,Main Campus,"01/15/2024-05/03/2024 Studio Monday, Wednesday 12:20PM - 01:15PM, Fine Arts Center, Room 435 (more)...","Wilson, James Edward",50 / 50,Open,0.00 - 1.00,Undergraduate,This course is for students with junior standing or higher.,,,
2024SP,MUSC-339-001,9th Street Singers,Main Campus,"01/15/2024-05/03/2024 Studio Monday, Wednesday, Friday 02:45PM - 03:30PM, Fine Arts Center, Room RH","Wilson, James Edward",50 / 50,Open,0.00 - 1.00,Undergraduate,This course is for students with junior standing or higher.,,,
2024SP,MUSC-340-001,Music Elmntry Mid Schl,Main Campus,"01/16/2024-05/02/2024 Lecture Tuesday, Thursday 02:00PM - 03:20PM, Fine Arts Center, Room 221","Nestingen, Sarah Ruth",30 / 30,Open,3,Undergraduate,,,,
2024SP,MUTH-336-001,Scene Study II,Main Campus,"01/15/2024-05/01/2024 Studio Monday, Wednesday 11:15AM - 12:35PM, Fine Arts Center, Room BB","TBA,  ",10-Oct,Open,3,Undergraduate,This course is for students with junior standing or higher.,,,
2024SP,MUTH-336-001,Scene Study II,Main Campus,"01/15/2024-05/01/2024 Studio Monday, Wednesday 11:15AM - 12:35PM, Fine Arts Center, Room BB","TBA,  ",10-Oct,Open,3,Undergraduate,This course is for music theatre majors only.,,,
2024SP,MUTH-336-002,Scene Study II,Main Campus,"01/15/2024-05/03/2024 Studio Monday, Wednesday 11:15AM - 12:35PM, Fine Arts Center, Room BB","TBA,  ",10-Oct,Open,3,Undergraduate,This course is for students with junior standing or higher.,,,
2024SP,MUTH-336-002,Scene Study II,Main Campus,"01/15/2024-05/03/2024 Studio Monday, Wednesday 11:15AM - 12:35PM, Fine Arts Center, Room BB","TBA,  ",10-Oct,Open,3,Undergraduate,This course is for music theatre majors only.,,,
2024SP,MUTR-171-001,Private Voice Lessons,Main Campus,"01/15/2024-05/03/2024 Lessons Days to be Announced, Times to be Announced Arranged, Room ARRG","Hughes, Karla M",18 / 18,Open,1,Undergraduate,,,,
2024SP,MUTR-171-002,Private Voice Lessons,Main Campus,"01/15/2024-05/03/2024 Lessons Days to be Announced, Times to be Announced Arranged, Room ARRG","Moss, Gary W",18 / 18,Open,1,Undergraduate,,,,
2024SP,MUTR-171-003,Private Voice Lessons,Main Campus,"01/15/2024-05/03/2024 Lessons Days to be Announced, Times to be Announced Arranged, Room ARRG","Schoenecker, Ann Elise",18 / 18,Open,1,Undergraduate,,,,
2024SP,MUTR-171-004,Private Voice Lessons,Main Campus,"01/15/2024-05/03/2024 Lessons Days to be Announced, Times to be Announced Arranged, Room ARRG","Moxness, Adam John",18 / 18,Open,1,Undergraduate,,,,
2024SP,MUTR-172-001,Applied Vocal Coaching,Main Campus,"01/15/2024-05/10/2024 Lessons Days to be Announced, Times to be Announced Arranged, Room ARRG","Hanson, Janette K",12-Dec,Open,0.5,Undergraduate,,,,
2024SP,MUTR-172-002,Applied Vocal Coaching,Main Campus,"01/15/2024-05/10/2024 Lessons Days to be Announced, Times to be Announced Arranged, Room ARRG","Salvo, Matt Taylor",12-Dec,Open,0.5,Undergraduate,,,,
2024SP,MUTR-172-003,Applied Vocal Coaching,Main Campus,"01/15/2024-05/10/2024 Lessons Days to be Announced, Times to be Announced Arranged, Room ARRG","Bott, Christopher Aaron",12-Dec,Open,0.5,Undergraduate,,,,
2024SP,MUTR-371-001,Private Voice Lessons,Main Campus,"01/15/2024-05/03/2024 Lessons Days to be Announced, Times to be Announced Arranged, Room ARRG","Hughes, Karla M",18 / 18,Open,1,Undergraduate,,,,
2024SP,MUTR-371-002,Private Voice Lessons,Main Campus,"01/15/2024-05/03/2024 Lessons Days to be Announced, Times to be Announced Arranged, Room ARRG","Moss, Gary W",18 / 18,Open,1,Undergraduate,,,,
2024SP,MUTR-371-003,Private Voice Lessons,Main Campus,"01/15/2024-05/03/2024 Lessons Days to be Announced, Times to be Announced Arranged, Room ARRG","Schoenecker, Ann Elise",18 / 18,Open,1,Undergraduate,,,,
2024SP,MUTR-371-004,Private Voice Lessons,Main Campus,"01/15/2024-05/03/2024 Lessons Days to be Announced, Times to be Announced Arranged, Room ARRG","Johnson, Daniel Edward",18 / 18,Open,1,Undergraduate,,,,
2024SP,MUVO-168-001,Applied Voice Lessons,Main Campus,"01/15/2024-05/03/2024 Lessons Days to be Announced, Times to be Announced Arranged, Room ARRG","Schoenecker, Ann Elise",18 / 18,Open,0.50 - 1.00,Undergraduate,This course is for students with freshman and sophomore standing.,,,
2024SP,MUVO-168-001,Applied Voice Lessons,Main Campus,"01/15/2024-05/03/2024 Lessons Days to be Announced, Times to be Announced Arranged, Room ARRG","Schoenecker, Ann Elise",18 / 18,Open,0.50 - 1.00,Undergraduate,This course section is for NON-music majors only.,,,
2024SP,MUVO-168-002,Applied Voice Lessons,Main Campus,"01/15/2024-05/03/2024 Lessons Days to be Announced, Times to be Announced Arranged, Room ARRG","Rivera, Denise Marie",18 / 18,Open,0.50 - 1.00,Undergraduate,This course is for students with freshman and sophomore standing.,,,
2024SP,MUVO-168-002,Applied Voice Lessons,Main Campus,"01/15/2024-05/03/2024 Lessons Days to be Announced, Times to be Announced Arranged, Room ARRG","Rivera, Denise Marie",18 / 18,Open,0.50 - 1.00,Undergraduate,This course section is for NON-music majors only.,,,
2024SP,MUVO-168-003,Applied Voice Lessons,Main Campus,"01/15/2024-05/03/2024 Lessons Days to be Announced, Times to be Announced Arranged, Room ARRG","Johnson, Daniel Edward",18 / 18,Open,0.50 - 1.00,Undergraduate,This course is for students with freshman and sophomore standing.,,,
2024SP,MUVO-168-003,Applied Voice Lessons,Main Campus,"01/15/2024-05/03/2024 Lessons Days to be Announced, Times to be Announced Arranged, Room ARRG","Johnson, Daniel Edward",18 / 18,Open,0.50 - 1.00,Undergraduate,This course section is for NON-music majors only.,,,
2024SP,MUVO-171-001,Applied Voice Lessons,Main Campus,"01/15/2024-05/03/2024 Lessons Days to be Announced, Times to be Announced Arranged, Room ARRG","Schoenecker, Ann Elise",18 / 18,Open,0.50 - 1.00,Undergraduate,This course is for students with freshman and sophomore standing.,,,
2024SP,MUVO-171-003,Applied Voice Lessons,Main Campus,"01/15/2024-05/03/2024 Lessons Days to be Announced, Times to be Announced Arranged, Room ARRG","Johnson, Daniel Edward",18 / 18,Open,0.50 - 1.00,Undergraduate,This course is for students with freshman and sophomore standing.,,,
2024SP,MUVO-172-001,Applied Vocal Coaching,Main Campus,"01/15/2024-05/03/2024 Lessons Days to be Announced, Times to be Announced Arranged, Room ARRG","Stafslien, Judy A",18 / 18,Open,0.50 - 1.00,Undergraduate,This course is for students with freshman and sophomore standing.,,,
2024SP,MUVO-172-001,Applied Vocal Coaching,Main Campus,"01/15/2024-05/03/2024 Lessons Days to be Announced, Times to be Announced Arranged, Room ARRG","Stafslien, Judy A",18 / 18,Open,0.50 - 1.00,Undergraduate,This course is for music majors only.,,,
2024SP,MUVO-368-001,Applied Voice Lessons,Main Campus,"01/15/2024-05/03/2024 Lessons Days to be Announced, Times to be Announced Arranged, Room ARRG","Schoenecker, Ann Elise",18 / 18,Open,0.50 - 1.00,Undergraduate,This course is for students with junior standing or higher.,,,
2024SP,MUVO-368-001,Applied Voice Lessons,Main Campus,"01/15/2024-05/03/2024 Lessons Days to be Announced, Times to be Announced Arranged, Room ARRG","Schoenecker, Ann Elise",18 / 18,Open,0.50 - 1.00,Undergraduate,This course section is for NON-music majors only.,,,
2024SP,MUVO-368-002,Applied Voice Lessons,Main Campus,"01/15/2024-05/03/2024 Lessons Days to be Announced, Times to be Announced Arranged, Room ARRG","Rivera, Denise Marie",18 / 18,Open,0.50 - 1.00,Undergraduate,This course is for students with junior standing or higher.,,,
2024SP,MUVO-368-002,Applied Voice Lessons,Main Campus,"01/15/2024-05/03/2024 Lessons Days to be Announced, Times to be Announced Arranged, Room ARRG","Rivera, Denise Marie",18 / 18,Open,0.50 - 1.00,Undergraduate,This course section is for NON-music majors only.,,,
2024SP,MUVO-368-003,Applied Voice Lessons,Main Campus,"01/15/2024-05/03/2024 Lessons Days to be Announced, Times to be Announced Arranged, Room ARRG","Johnson, Daniel Edward",18 / 18,Open,0.50 - 1.00,Undergraduate,This course is for students with junior standing or higher.,,,
2024SP,MUVO-368-003,Applied Voice Lessons,Main Campus,"01/15/2024-05/03/2024 Lessons Days to be Announced, Times to be Announced Arranged, Room ARRG","Johnson, Daniel Edward",18 / 18,Open,0.50 - 1.00,Undergraduate,This course section is for NON-music majors only.,,,
2024SP,MUVO-371-001,Applied Voice Lessons,Main Campus,"01/15/2024-05/03/2024 Lessons Days to be Announced, Times to be Announced Arranged, Room ARRG","Schoenecker, Ann Elise",90 / 90,Open,0.50 - 1.00,Undergraduate,This course is for students with junior standing or higher.,,,
2024SP,MUVO-371-003,Applied Voice Lessons,Main Campus,"01/15/2024-05/03/2024 Lessons Days to be Announced, Times to be Announced Arranged, Room ARRG","Johnson, Daniel Edward",90 / 90,Open,0.50 - 1.00,Undergraduate,This course is for students with junior standing or higher.,,,
2024SP,MUVO-372-001,Applied Vocal Coaching,Main Campus,"01/15/2024-05/03/2024 Lessons Days to be Announced, Times to be Announced Arranged, Room ARRG","Stafslien, Judy A",90 / 90,Open,0.50 - 1.00,Undergraduate,This course is for students with junior standing or higher.,,,
2024SP,MUVO-372-001,Applied Vocal Coaching,Main Campus,"01/15/2024-05/03/2024 Lessons Days to be Announced, Times to be Announced Arranged, Room ARRG","Stafslien, Judy A",90 / 90,Open,0.50 - 1.00,Undergraduate,This course is for music majors only.,,,
2024SP,NENR-000-001,Not Enrolled/LOA,Main Campus,01/15/2024-05/10/2024,"Salaski, Korinda Fern",90 / 90,Open,0,Graduate,,,,
2024SP,NEUR-261-001,Brain and Behavior,Main Campus,"01/15/2024-05/03/2024 Lecture Monday, Wednesday, Friday 01:25PM - 02:20PM, Reinhart Center, Room 201","Lawrence, Robert Charles",24 / 24,Open,3,Undergraduate,,,,
